Date,Strategy,S&P 500,Nasdaq 100
2024-06-27,139386.90347455113,114308.34950808599,120158.66854286961
2024-06-28,139755.32056569326,113841.55761304434,119635.83871124264
2024-07-01,139135.2874467289,114146.15026988038,120071.32806055607
2024-07-02,139202.5838930646,114853.32226987203,121278.3250036392
2024-07-03,140553.54944466107,115436.86425925193,122407.68596244357
2024-07-05,140880.62057904445,116066.27235712185,123540.07957688387
2024-07-08,140793.03782608843,116184.27334532801,124060.48328400213
2024-07-09,140089.68929222834,116269.95957527986,124101.120869523
2024-07-10,141409.8703150497,117457.26633823755,125352.39458489009
2024-07-11,141312.86181112292,116427.98916725912,122581.15386481634
2024-07-12,143394.19000964783,117069.90620380815,123267.14056965402
2024-07-15,145074.3545984713,117400.76763187029,123854.26270076178
2024-07-16,147526.4473608745,118151.30395261614,123683.22092289776
2024-07-17,144680.3231425631,116505.75306938082,120218.10859333299
2024-07-18,142822.83482875497,115594.68536891988,119835.99398321121
2024-07-19,144178.22278815275,114769.30389841074,118359.6972196613
2024-07-22,145473.68497126992,116007.89730995274,120105.29380367801
2024-07-23,143167.17875602265,115827.56011066242,120010.67494783833
2024-07-24,140634.91070926088,113145.85214017516,115834.7081372216
2024-07-25,139893.2154115987,112564.39497390845,114161.28875733902
2024-07-26,142162.74359197542,113812.37008945977,115331.8938327915
2024-07-29,140883.5818725254,113905.35320030773,115638.79858314327
2024-07-30,139194.75754663968,113340.36613663514,113561.42947256051
2024-07-31,141863.09364622468,115129.97829699141,117859.3090397399
2024-08-01,138811.515005338,113553.85202342508,114197.0740938425
2024-08-02,133355.0184721312,111466.11015788365,111527.12407200738
2024-08-05,130199.35201635206,108126.01504825323,109250.20622058323
2024-08-06,132537.8779141335,109245.56506003249,108963.3169974283
2024-08-07,129545.23380725655,108400.58625225944,107553.7386578679
2024-08-08,133824.82795290332,110897.9958595413,111858.29006744626
2024-08-09,133388.5148796704,111416.07440316725,112080.28045999321
2024-08-12,133644.17909154817,111420.86949632759,112316.22106846521
2024-08-13,135996.85246344854,113298.46119206015,115176.62186423407
2024-08-14,135216.99660516818,113731.27047035693,115470.78946091514
2024-08-15,138022.72015568617,115566.12329226927,118033.38347323987
2024-08-16,139127.46812492935,115796.49624627599,118335.43597457421
2024-08-19,141212.44376980606,116921.88376277215,119848.73113688195
2024-08-20,138637.8471941083,116689.84295027489,119563.66150710855
2024-08-21,139925.31770175032,117184.57147503321,120287.85967295841
2024-08-22,137995.7640973989,116138.19875452666,118480.39691396961
2024-08-23,141922.85783841152,117471.44313540719,119481.1732738124
2024-08-26,141865.71260174728,117101.3870328172,118161.36154107428
2024-08-27,141585.3711673727,117287.77021913577,118665.99543888592
2024-08-28,139417.97973660255,116587.26965310628,116705.08030472124
2024-08-29,140477.46311584578,116582.26607763465,117585.15697025572
2024-08-30,141496.35313767177,117758.94024271512,118490.10141200447
2024-09-03,136220.840389531,115268.20206939543,114878.20854966277
2024-09-04,135614.56080896835,115083.90370619006,114742.34557717502
2024-09-05,134974.06744284724,114736.57217553377,114503.37231306711
2024-09-06,131900.95785272444,112756.19870032127,111023.09670532291
2024-09-09,134750.81364367352,114061.92341610776,113334.58683099618
2024-09-10,134369.23365594793,114572.07963190363,114051.5066233199
2024-09-11,136084.08615431475,115793.99445854017,116576.4957057596
2024-09-12,138034.89353328903,116661.48935593561,117614.27046436022
2024-09-13,140921.09745971535,117292.35682998478,118193.50769081469
2024-09-16,140765.14698743637,117439.7538240868,117735.57668979571
2024-09-17,140289.67234888973,117470.81768847322,117913.2903100587
2024-09-18,140100.77577133005,117130.57455640177,117574.23940996653
2024-09-19,143539.03470056158,119119.49580637831,120190.81469261002
2024-09-20,141948.59681474132,118887.87195850367,119956.69367751954
2024-09-23,143125.21065317336,119222.27758585823,120281.18783055946
2024-09-24,144394.76049416582,119521.6581849113,121070.28482701731
2024-09-25,143134.16289901282,119299.20755873469,121431.17084768788
2024-09-26,146162.82459760856,119780.59321556862,122061.35668882527
2024-09-27,147819.76048871217,119630.48595141945,121175.21471201902
2024-09-30,146292.43243396896,120137.72341485687,121518.51133000145
2024-10-01,146063.4675983206,119017.13099152103,119854.7964481537
2024-10-02,147556.84278782966,119034.01805873781,120431.60755009945
2024-10-03,146068.6902893164,118833.87503987223,119835.38745208405
2024-10-04,148206.17792425118,119899.42813302008,121349.89567664613
2024-10-07,146764.22852223527,118750.06515072231,120255.713523218
2024-10-08,147282.2014334952,119901.09599151062,121892.74103546994
2024-10-09,149877.51854547753,120753.99712711376,122881.38677276918
